iter	Passed	Remaining
404	8791	12916
405	8817	12900
406	8841	12882
407	8873	12874
408	8905	12868
409	8970	12908
410	9014	12917
411	9061	12932
412	9108	12945
413	9157	12962
414	9206	12977
415	9263	13004
416	9320	13030
417	9362	13035
418	9411	13050
419	9462	13067
420	9508	13077
421	9561	13096
422	9617	13119
423	9666	13131
424	9717	13146
425	9762	13154
426	9803	13155
427	9850	13164
428	9906	13185
429	9953	13193
430	10025	13235
431	10086	13261
432	10132	13268
433	10187	13285
434	10236	13296
435	10277	13294
436	10313	13287
437	10355	13287
438	10386	13273
439	10428	13272
440	10459	13257
441	10494	13249
442	10533	13243
443	10575	13243
444	10606	13227
445	10642	13219
446	10678	13210
447	10712	13198
448	10733	13172
449	10757	13148
450	10788	13132
451	10814	13110
452	10845	13096
453	10870	13073
454	10904	13061
455	10937	13048
456	10964	13028
457	10985	13000
458	11010	12977
459	11031	12950
460	11053	12923
461	11085	12909
462	11115	12891
463	11142	12871
464	11172	12854
465	11201	12835
466	11229	12816
467	11264	12804
468	11299	12792
469	11325	12771
470	11354	12752
471	11384	12735
472	11405	12708
473	11428	12681
474	11449	12655
475	11473	12629
476	11496	12605
477	11520	12580
478	11542	12554
479	11569	12533
480	11600	12517
481	11630	12499
482	11653	12474
483	11675	12447
484	11699	12423
485	11722	12397
486	11742	12369
487	11763	12342
488	11787	12317
489	11809	12291
490	11840	12274
491	11861	12247
492	11885	12222
493	11913	12203
494	11946	12188
495	11967	12160
496	11987	12132
497	12018	12114
498	12047	12095
499	12067	12067
500	12090	12042
501	12111	12014
502	12132	11987
503	12156	11963
504	12180	11938
505	12203	11913
506	12226	11888
507	12247	11861
508	12275	11841
509	12299	11816
510	12324	11793
511	12347	11768
512	12369	11743
513	12391	11716
514	12413	11690
515	12437	11666
516	12459	11640
517	12483	11615
518	12504	11588
519	12524	11560
520	12551	11539
521	12572	11512
522	12597	11489
523	12624	11468
524	12647	11443
525	12677	11424
526	12700	11399
527	12722	11373
528	12756	11358
529	12781	11334
530	12801	11307
531	12822	11279
532	12845	11254
533	12869	11230
534	12892	11205
535	12917	11182
536	12948	11164
537	12969	11137
538	12989	11110
539	13013	11085
540	13041	11064
541	13062	11038
542	13085	11013
543	13106	10986
544	13135	10966
545	13163	10945
546	13186	10920
547	13208	10894
548	13229	10867
549	13252	10843
550	13276	10818
551	13300	10794
552	13325	10771
553	13355	10752
554	13379	10727
555	13405	10705
556	13427	10679
557	13452	10655
558	13478	10633
559	13501	10608
560	13523	10582
561	13553	10563
562	13595	10553
563	13616	10526
564	13639	10501
565	13663	10477
566	13689	10454
567	13711	10428
568	13733	10403
569	13756	10377
570	13784	10356
571	13811	10334
572	13838	10312
573	13863	10289
574	13887	10264
575	13923	10249
576	13945	10223
577	13967	10197
578	13992	10174
579	14016	10149
580	14036	10123
581	14060	10098
582	14085	10074
583	14114	10053
584	14136	10028
585	14157	10001
586	14178	9975
587	14197	9947
588	14216	9920
589	14236	9892
590	14255	9865
591	14274	9837
592	14292	9809
593	14311	9781
594	14330	9754
595	14349	9726
596	14368	9699
597	14386	9671
598	14405	9643
599	14423	9615
600	14444	9589
601	14465	9563
